host,S_drift
l1-eng-067,0.0
l2-eng-win10-4,0.0
l3-eng-win7-1,0.0
l3-eng-win7-2,0.0
l4-distrib-1,0.0
l4-distrib-2,0.0
l4-energy-mgt-2,0.0
l4-maint-1,0.0
l4-maint-2,0.0
l4-pipe-ctrl-1,0.0
l4-pipe-ctrl-2,0.0
l4-prod-sched-1,0.0
l4-prod-sched-2,0.0
l4-safety-1,0.0
l4-safety-2,0.0
l5-compl-1,0.0
l5-compl-2,0.0
l5-cust-svc-1,0.0
l5-cust-svc-2,0.0
l5-dc,0.0
l5-dns,0.0
l5-hr-1,0.0
l5-hr-2,0.0
l5-mail,0.0
l5-smtp,0.0
l5-sup-chain-1,0.0
l5-sup-chain-2,0.0
unknown,0.0
