host,S_freq
l1-eng-067,0.1785714285714286
l2-eng-win10-4,0.9642857142857143
l3-eng-win7-1,0.1428571428571429
l3-eng-win7-2,0.0714285714285714
l4-distrib-1,0.0357142857142857
l4-distrib-2,0.4107142857142857
l4-energy-mgt-2,0.4107142857142857
l4-maint-1,0.4107142857142857
l4-maint-2,0.5357142857142857
l4-pipe-ctrl-1,0.4107142857142857
l4-pipe-ctrl-2,0.4107142857142857
l4-prod-sched-1,0.5714285714285714
l4-prod-sched-2,0.25
l4-safety-1,0.2857142857142857
l4-safety-2,0.4107142857142857
l5-compl-1,0.8214285714285714
l5-compl-2,0.6428571428571428
l5-cust-svc-1,0.75
l5-cust-svc-2,0.8214285714285714
l5-dc,0.8928571428571429
l5-dns,0.0
l5-hr-1,0.6785714285714286
l5-hr-2,0.6071428571428572
l5-mail,0.9285714285714286
l5-smtp,0.1071428571428571
l5-sup-chain-1,0.7142857142857143
l5-sup-chain-2,0.8214285714285714
unknown,0.2142857142857143
